level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2002	1896	-1	
2	1	1	0	0	0	30	25	1951	1854	-1	
3	1	1	1	0	0	30	16	1957	1863	-1	
4	1	1	1	1	0	1938	180	35	248	-1	
5	1	1	1	1	1	1938	180	35	248	59.113121	一
5	1	1	1	1	2	1930	410	52	20	92.244904	一
4	1	1	1	2	0	1875	446	85	529	-1	
5	1	1	1	2	1	1882	446	54	51	72.644501	0
5	1	1	1	2	2	1875	515	82	79	0.000000	江
5	1	1	1	2	3	1911	600	45	45	0.000000	謗
5	1	1	1	2	4	1910	666	44	40	0.000000	交
5	1	1	1	2	5	1912	728	41	50	0.000000	倫
5	1	1	1	2	6	1913	796	46	72	0.000000	ta
5	1	1	1	2	7	1944	908	16	67	8.746567	生
4	1	1	1	3	0	1779	229	202	1314	-1	
5	1	1	1	3	1	1779	229	67	194	0.000000	和
5	1	1	1	3	2	1795	446	116	278	26.715225	生
5	1	1	1	3	3	1867	723	52	69	19.368134	全
5	1	1	1	3	4	1868	798	43	75	26.354706	全
5	1	1	1	3	5	1791	874	173	185	12.508301	生計
5	1	1	1	3	6	1867	1058	93	98	42.481201	一
5	1	1	1	3	7	1954	1339	6	63	0.000000	和
4	1	1	1	4	0	1740	501	237	1340	-1	
5	1	1	1	4	1	1740	501	98	98	0.000000	拷
5	1	1	1	4	2	1744	599	90	74	0.000000	賣
5	1	1	1	4	3	1740	672	98	50	8.551376	商
5	1	1	1	4	4	1827	794	39	60	24.692520	此
5	1	1	1	4	5	1829	867	43	89	0.000000	43
5	1	1	1	4	6	1814	983	72	59	0.000000	剖
5	1	1	1	4	7	1827	1034	47	37	0.000000	放
5	1	1	1	4	8	1814	1091	72	28	0.000000	)
5	1	1	1	4	9	1862	1173	5	6	48.006245	1!
5	1	1	1	4	10	1870	1242	90	313	0.000000	AA
5	1	1	1	4	11	1966	1591	15	250	0.000000	凍
4	1	1	1	5	0	1635	338	327	1535	-1	
5	1	1	1	5	1	1635	338	327	1336	0.000000	了
5	1	1	1	5	2	1908	1833	51	40	40.316967	1
4	1	1	1	6	0	1615	339	231	1378	-1	
5	1	1	1	6	1	1615	339	7	95	61.058811	全
5	1	1	1	6	2	1616	441	41	59	0.000000	※
5	1	1	1	6	3	1626	515	65	66	0.000000	斤
5	1	1	1	6	4	1627	611	65	106	17.572746	AA
5	1	1	1	6	5	1699	785	51	325	15.314491	訪客
5	1	1	1	6	6	1675	977	112	56	0.000000	詞
5	1	1	1	6	7	1675	1033	112	28	19.874374	/
5	1	1	1	6	8	1675	1082	112	28	19.900352	~
5	1	1	1	6	9	1741	1168	42	61	20.271881	店
5	1	1	1	6	10	1747	1247	35	46	34.242699	如
5	1	1	1	6	11	1748	1312	75	73	0.000000	呈
5	1	1	1	6	12	1748	1385	79	77	0.000000	宮
5	1	1	1	6	13	1783	1510	18	15	0.000000	茹
5	1	1	1	6	14	1783	1525	45	63	0.000000	宮
5	1	1	1	6	15	1744	1588	112	49	0.000000	珊
5	1	1	1	6	16	1819	1663	27	54	0.000000	一
4	1	1	1	7	0	1548	443	240	1189	-1	
5	1	1	1	7	1	1548	443	72	87	50.799568	吃
5	1	1	1	7	2	1578	535	34	35	0.000000	巷
5	1	1	1	7	3	1577	586	75	62	0.000000	字
5	1	1	1	7	4	1585	650	66	66	0.000000	全
5	1	1	1	7	5	1697	1115	7	17	65.348480	_
5	1	1	1	7	6	1700	1181	44	154	0.000000	記號
5	1	1	1	7	7	1701	1381	81	52	0.212219	襄
5	1	1	1	7	8	1732	1444	29	68	0.000000	谷
5	1	1	1	7	9	1745	1531	38	32	0.000000	饋
5	1	1	1	7	10	1747	1587	41	45	0.000000	臣
4	1	1	1	8	0	1529	400	246	1473	-1	
5	1	1	1	8	1	1529	400	6	16	89.728447	-
5	1	1	1	8	2	1529	452	6	58	0.000000	選
5	1	1	1	8	3	1530	572	54	68	0.000000	戰
5	1	1	1	8	4	1576	656	20	41	15.295380	sw
5	1	1	1	8	5	1701	1385	12	117	15.134583	多
5	1	1	1	8	6	1702	1521	44	55	0.000000	室
5	1	1	1	8	7	1706	1585	40	32	24.824097	中
5	1	1	1	8	8	1744	1701	2	4	57.212379	一
5	1	1	1	8	9	1677	1757	102	39	58.342381	|
4	1	1	1	9	0	1460	436	219	1048	-1	
5	1	1	1	9	1	1460	436	59	55	21.067528	全
5	1	1	1	9	2	1490	509	76	68	32.205261	你
5	1	1	1	9	3	1489	577	42	24	40.470581	人
5	1	1	1	9	4	1491	604	42	40	0.000000	可
5	1	1	1	9	5	1502	655	68	54	12.508682	如
5	1	1	1	9	6	1520	722	52	51	4.646309	六
5	1	1	1	9	7	1531	794	43	133	35.179932	為
5	1	1	1	9	8	1544	946	29	17	0.000000	彷
5	1	1	1	9	9	1485	967	96	48	0.000000	途
5	1	1	1	9	10	1562	1032	13	16	53.859818	~
5	1	1	1	9	11	1589	1161	90	323	0.000000	同
4	1	1	1	10	0	1387	216	238	1401	-1	
5	1	1	1	10	1	1387	216	38	69	0.000000	k
5	1	1	1	10	2	1442	468	4	32	59.440159	5
5	1	1	1	10	3	1441	513	43	65	45.514866	及
5	1	1	1	10	4	1443	582	43	55	14.452530	全
5	1	1	1	10	5	1446	651	65	53	27.988106	如
5	1	1	1	10	6	1488	730	45	126	10.004814	信訪
5	1	1	1	10	7	1489	888	47	51	14.098495	店
5	1	1	1	10	8	1531	967	42	40	0.000000	廬
5	1	1	1	10	9	1530	1046	61	159	55.713013	一
5	1	1	1	10	10	1576	1237	49	337	2.745598	性
5	1	1	1	10	11	1620	1583	5	34	15.913460	如
4	1	1	1	11	0	1353	312	266	1308	-1	
5	1	1	1	11	1	1357	312	94	429	12.715485	還
5	1	1	1	11	2	1443	747	45	114	42.109932	人
5	1	1	1	11	3	1443	875	61	121	2.007133	全
5	1	1	1	11	4	1442	1017	130	86	0.000000	村
5	1	1	1	11	5	1353	1102	227	86	0.000000	隊
5	1	1	1	11	6	1491	1228	85	130	0.000000	直
5	1	1	1	11	7	1534	1369	45	81	0.000000	共
5	1	1	1	11	8	1492	1450	124	85	0.000000	汪
5	1	1	1	11	9	1538	1566	81	54	34.408752	下
4	1	1	1	12	0	1100	202	479	1654	-1	
5	1	1	1	12	1	1100	202	273	130	30.371559	名
5	1	1	1	12	2	1279	403	109	207	18.090012	和
5	1	1	1	12	3	1305	609	90	268	21.992851	aa
5	1	1	1	12	4	1359	909	64	404	4.102776	站
5	1	1	1	12	5	1452	1342	80	93	0.000000	人
5	1	1	1	12	6	1450	1456	129	400	10.160614	全
4	1	1	1	13	0	1142	49	320	1569	-1	
5	1	1	1	13	1	1142	49	99	159	0.000000	人
5	1	1	1	13	2	1196	288	9	9	28.824272	~
5	1	1	1	13	3	1196	418	75	83	0.000000	伺
5	1	1	1	13	4	1205	518	79	60	0.000000	由
5	1	1	1	13	5	1197	577	118	105	0.000000	他
5	1	1	1	13	6	1207	652	112	80	0.000000	蕊
5	1	1	1	13	7	1280	750	38	23	0.000000	以
5	1	1	1	13	8	1279	812	84	111	0.000000	軸
5	1	1	1	13	9	1277	924	185	694	16.080002	和
4	1	1	1	14	0	1108	201	260	1360	-1	
5	1	1	1	14	1	1109	201	51	48	6.195747	|
5	1	1	1	14	2	1108	441	93	58	72.465080	Q
