level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2019	1872	-1	
2	1	1	0	0	0	10	7	1996	1845	-1	
3	1	1	1	0	0	10	6	1996	1854	-1	
4	1	1	1	1	0	1918	18	64	345	-1	
5	1	1	1	1	1	1918	18	3	5	24.542816	生
5	1	1	1	1	2	1963	256	19	46	41.684692	he
5	1	1	1	1	3	1968	342	5	21	0.000000	謂
4	1	1	1	2	0	1820	151	167	572	-1	
5	1	1	1	2	1	1820	151	4	4	44.128998	:
5	1	1	1	2	2	1870	242	8	51	24.694153	本
5	1	1	1	2	3	1871	296	44	65	32.524712	0
5	1	1	1	2	4	1922	440	46	78	56.628666	本
5	1	1	1	2	5	1922	517	47	51	0.000000	婦
5	1	1	1	2	6	1911	567	62	24	0.000000	:
5	1	1	1	2	7	1967	693	20	30	58.093010	1
4	1	1	1	3	0	1787	231	198	686	-1	
5	1	1	1	3	1	1787	231	9	63	8.749146	|
5	1	1	1	3	2	1788	296	81	60	8.749146	8
5	1	1	1	3	3	1804	371	116	148	0.000000	發放
5	1	1	1	3	4	1836	529	133	109	25.597008	人
5	1	1	1	3	5	1926	720	59	197	0.000000	Re
4	1	1	1	4	0	1753	314	253	933	-1	
5	1	1	1	4	1	1755	314	39	42	0.000000	己
5	1	1	1	4	2	1753	370	70	71	32.150734	各
5	1	1	1	4	3	1774	447	58	46	0.000000	旻
5	1	1	1	4	4	1783	510	65	56	0.000000	WN
5	1	1	1	4	5	1820	591	55	40	0.000000	共
5	1	1	1	4	6	1875	664	7	66	0.000000	一
5	1	1	1	4	7	1859	734	64	56	79.513466	全
5	1	1	1	4	8	1866	793	58	57	17.207092	條
5	1	1	1	4	9	1881	868	85	63	39.900414	全
5	1	1	1	4	10	1936	946	30	29	48.317661	本
5	1	1	1	4	11	1923	990	65	30	33.789436	9
5	1	1	1	4	12	1971	1112	4	21	15.501060	如
5	1	1	1	4	13	2004	1237	2	10	4.240829	說
4	1	1	1	5	0	1707	240	269	1025	-1	
5	1	1	1	5	1	1707	240	83	252	5.932144	全
5	1	1	1	5	2	1752	507	46	57	0.000000	提
5	1	1	1	5	3	1771	580	61	59	9.642868	望
5	1	1	1	5	4	1791	674	8	38	91.861961	一
5	1	1	1	5	5	1824	738	32	44	0.000000	窒
5	1	1	1	5	6	1831	798	53	67	0.000000	憫
5	1	1	1	5	7	1841	884	70	45	0.000000	繼
5	1	1	1	5	8	1880	943	96	322	21.025383	人
4	1	1	1	6	0	1676	316	299	1041	-1	
5	1	1	1	6	1	1676	316	39	123	54.119587	ce
5	1	1	1	6	2	1712	446	33	72	19.372009	生
5	1	1	1	6	3	1712	522	51	43	17.927330	多
5	1	1	1	6	4	1755	598	15	37	9.112656	史
5	1	1	1	6	5	1756	722	70	64	32.614059	說
5	1	1	1	6	6	1793	812	66	90	11.829140	論說
5	1	1	1	6	7	1842	944	43	54	30.119858	人
5	1	1	1	6	8	1884	1098	44	56	45.702850	33
5	1	1	1	6	9	1880	1168	99	44	0.000000	有
5	1	1	1	6	10	1931	1267	44	26	0.000000	切
5	1	1	1	6	11	1942	1319	22	38	0.000000	曙
4	1	1	1	7	0	1624	252	373	1375	-1	
5	1	1	1	7	1	1624	252	55	99	4.246536	二
5	1	1	1	7	2	1649	386	35	48	33.137260	二
5	1	1	1	7	3	1669	452	43	43	0.000000	交
5	1	1	1	7	4	1689	536	27	29	11.247391	突
5	1	1	1	7	5	1713	588	3	5	53.467911	2
5	1	1	1	7	6	1712	611	38	35	6.671333	畫
5	1	1	1	7	7	1757	803	45	69	29.068687	說
5	1	1	1	7	8	1795	871	43	133	0.000000	信人
5	1	1	1	7	9	1841	1095	47	89	0.000000	密
5	1	1	1	7	10	1861	1187	68	43	0.000000	合
5	1	1	1	7	11	1884	1253	44	42	0.000000	給
5	1	1	1	7	12	1932	1350	64	164	0.000000	人
5	1	1	1	7	13	1928	1473	73	47	0.000000	朗
5	1	1	1	7	14	1928	1519	73	56	55.894295	用
5	1	1	1	7	15	1983	1589	14	38	0.000000	竹
4	1	1	1	8	0	1539	108	459	1637	-1	
5	1	1	1	8	1	1565	108	2	2	0.000000	科
5	1	1	1	8	2	1535	172	109	62	0.000000	還
5	1	1	1	8	3	1539	238	5	52	0.000000	澀
5	1	1	1	8	4	1567	314	64	52	4.527649	人
5	1	1	1	8	5	1588	395	80	100	0.000000	生
5	1	1	1	8	6	1618	516	69	48	0.000000	晤
5	1	1	1	8	7	1631	590	79	45	0.000000	呈
5	1	1	1	8	8	1673	726	81	117	40.627499	之
5	1	1	1	8	9	1714	847	80	82	0.000000	戰
5	1	1	1	8	10	1739	946	76	77	0.000000	3
5	1	1	1	8	11	1777	1050	87	55	24.788979	“~
5	1	1	1	8	12	1797	1104	40	60	23.074165	寢
5	1	1	1	8	13	1818	1177	42	41	0.000000	畫
5	1	1	1	8	14	1820	1238	178	507	16.822586	點
4	1	1	1	9	0	1505	294	430	1422	-1	
5	1	1	1	9	1	1505	294	78	135	36.634045	信人
5	1	1	1	9	2	1547	446	55	50	4.432587	加
5	1	1	1	9	3	1567	514	60	63	0.000000	計
5	1	1	1	9	4	1591	592	42	49	0.000000	寢
5	1	1	1	9	5	1628	668	39	66	30.529144	一
5	1	1	1	9	6	1632	738	36	43	45.226574	和
5	1	1	1	9	7	1643	794	65	57	0.000000	和
5	1	1	1	9	8	1675	875	159	424	21.505768	條
5	1	1	1	9	9	1798	1307	44	45	8.125259	全
5	1	1	1	9	10	1843	1452	18	30	67.693710	一
5	1	1	1	9	11	1845	1502	35	51	0.000000	8
5	1	1	1	9	12	1895	1585	32	40	0.000000	人
5	1	1	1	9	13	1932	1713	3	3	12.706764	全
4	1	1	1	10	0	1466	311	419	1371	-1	
5	1	1	1	10	1	1466	311	31	24	33.645363	的
5	1	1	1	10	2	1488	393	53	37	16.236610	只
5	1	1	1	10	3	1504	439	42	60	0.000000	4m
5	1	1	1	10	4	1532	517	27	46	0.000000	吉
5	1	1	1	10	5	1548	586	37	53	0.000000	寢
5	1	1	1	10	6	1591	726	44	87	0.000000	蕊
5	1	1	1	10	7	1607	814	42	64	0.000000	芒
5	1	1	1	10	8	1632	877	35	54	0.000000	甸
5	1	1	1	10	9	1632	950	88	197	71.962593	一
5	1	1	1	10	10	1676	1147	114	102	0.000000	中
5	1	1	1	10	11	1760	1309	43	51	2.319733	二
5	1	1	1	10	12	1797	1384	45	113	0.000000	讓
5	1	1	1	10	13	1799	1518	41	36	0.000000	呈
5	1	1	1	10	14	1832	1575	52	48	0.000000	最
5	1	1	1	10	15	1845	1638	40	44	0.000000	馮
4	1	1	1	11	0	1442	298	373	1319	-1	
5	1	1	1	11	1	1442	298	56	185	0.000000	全:
5	1	1	1	11	2	1504	511	31	56	27.003403	時
5	1	1	1	11	3	1506	596	57	80	0.000000	閏
5	1	1	1	11	4	1543	687	5	31	78.521072	一
5	1	1	1	11	5	1544	726	42	48	0.000000	和
5	1	1	1	11	6	1565	804	43	40	0.908371	區
5	1	1	1	11	7	1593	871	36	58	31.678589	和
5	1	1	1	11	8	1582	907	59	31	0.000000	*
5	1	1	1	11	9	1605	950	31	52	0.000000	旋
5	1	1	1	11	10	1655	1107	18	43	16.056931	七
5	1	1	1	11	11	1686	1180	29	33	0.000000	廚
5	1	1	1	11	12	1716	1301	43	61	58.413567	加
5	1	1	1	11	13	1716	1370	99	247	12.547760	了
4	1	1	1	12	0	1234	7	526	1841	-1	
5	1	1	1	12	1	1234	7	64	85	0.000000	Wi
5	1	1	1	12	2	1337	284	73	136	38.751732	人
5	1	1	1	12	3	1377	446	25	5	0.000000	閏
5	1	1	1	12	4	1371	451	50	48	8.780334	條
5	1	1	1	12	5	1391	513	62	54	21.128815	只
5	1	1	1	12	6	1455	651	4	99	42.260994	一
5	1	1	1	12	7	1447	751	84	99	16.334717	定時
5	1	1	1	12	8	1488	868	87	111	20.586266	苗條
5	1	1	1	12	9	1516	1030	53	70	0.000000	一
5	1	1	1	12	10	1547	1099	44	55	0.000000	尼
5	1	1	1	12	11	1560	1164	155	251	0.000000	和
5	1	1	1	12	12	1652	1498	60	50	0.000000	人
5	1	1	1	12	13	1681	1565	34	47	0.000000	鑒
5	1	1	1	12	14	1680	1655	79	75	0.000000	氨
5	1	1	1	12	15	1757	1766	3	82	0.000000	一
4	1	1	1	13	0	1241	238	258	793	-1	
5	1	1	1	13	1	1241	238	86	106	16.057274	所
5	1	1	1	13	2	1294	371	79	134	38.666630	了
5	1	1	1	13	3	1319	518	68	89	0.000000	孟
5	1	1	1	13	4	1336	606	74	43	33.583992	夢
5	1	1	1	13	5	1369	668	7	33	85.803207	一
5	1	1	1	13	6	1376	720	85	132	0.000000	im
5	1	1	1	13	7	1420	856	79	175	0.000000	同
4	1	1	1	14	0	1209	234	423	1451	-1	
5	1	1	1	14	1	1209	234	65	113	0.000000	滋
5	1	1	1	14	2	1257	379	32	27	0.225922	人
5	1	1	1	14	3	1258	439	34	58	0.000000	交
5	1	1	1	14	4	1274	506	43	61	0.000000	匣
5	1	1	1	14	5	1299	587	29	55	0.000000	委
5	1	1	1	14	6	1340	720	71	101	0.000000	輒
5	1	1	1	14	7	1363	822	48	35	0.000000	妖
5	1	1	1	14	8	1388	884	24	41	0.000000	盂
5	1	1	1	14	9	1405	954	46	45	0.000000	窗
5	1	1	1	14	10	1401	1010	107	41	49.787529	-
5	1	1	1	14	11	1446	1034	58	183	82.528519	一
5	1	1	1	14	12	1401	1117	107	47	25.793083	主
5	1	1	1	14	13	1401	1164	107	54	38.628471	過
5	1	1	1	14	14	1474	1231	71	59	43.862389	時
5	1	1	1	14	15	1508	1311	39	49	0.000000	些
5	1	1	1	14	16	1549	1505	82	112	0.000000	認
5	1	1	1	14	17	1597	1630	35	55	9.279205	人
4	1	1	1	15	0	1211	346	383	1343	-1	
5	1	1	1	15	1	1211	346	61	219	0.000000	轉
5	1	1	1	15	2	1256	582	43	126	17.667381	還
5	1	1	1	15	3	1295	722	74	125	0.000000	和
5	1	1	1	15	4	1340	868	64	109	0.000000	放
5	1	1	1	15	5	1418	1167	46	69	0.000000	晤
5	1	1	1	15	6	1441	1238	62	51	0.000000	歸
5	1	1	1	15	7	1461	1300	43	66	0.000000	睫
5	1	1	1	15	8	1507	1438	39	94	19.293823	At
5	1	1	1	15	9	1529	1551	65	138	10.121140	2
4	1	1	1	16	0	1168	375	390	1310	-1	
5	1	1	1	16	1	1171	375	45	40	77.020088	之
5	1	1	1	16	2	1168	438	66	123	0.000000	(字
5	1	1	1	16	3	1216	581	35	61	0.000000	R
5	1	1	1	16	4	1258	727	41	85	17.053917	人
5	1	1	1	16	5	1296	811	19	39	0.000000	于
5	1	1	1	16	6	1306	874	28	61	0.000000	導
5	1	1	1	16	7	1373	1050	45	95	76.322685	一
5	1	1	1	16	8	1355	1121	67	43	0.000000	緊
5	1	1	1	16	9	1376	1170	40	48	12.051018	點
5	1	1	1	16	10	1423	1241	25	50	0.000000	室
5	1	1	1	16	11	1421	1316	37	43	0.000000	馬
5	1	1	1	16	12	1444	1413	65	29	17.106361	2
5	1	1	1	16	13	1461	1441	42	63	9.352356	人:
5	1	1	1	16	14	1508	1532	38	124	0.000000	人
5	1	1	1	16	15	1492	1655	66	30	0.000000	罰
4	1	1	1	17	0	1132	379	372	1287	-1	
5	1	1	1	17	1	1132	379	34	105	22.578690	[二
5	1	1	1	17	2	1168	510	53	106	0.000000	妥
5	1	1	1	17	3	1169	671	84	75	0.000000	一
5	1	1	1	17	4	1164	745	132	50	0.000000	計
5	1	1	1	17	5	1257	795	35	55	0.642784	寢
5	1	1	1	17	6	1264	857	42	57	0.000000	、
5	1	1	1	17	7	1269	914	68	86	0.000000	遇
5	1	1	1	17	8	1295	1005	4	46	2.120987	一
5	1	1	1	17	9	1342	1102	26	48	0.000000	E
5	1	1	1	17	10	1345	1165	71	136	12.219254	王宮
5	1	1	1	17	11	1375	1304	38	67	14.196274	點
5	1	1	1	17	12	1424	1440	76	133	20.768166	含笑
5	1	1	1	17	13	1464	1584	38	39	0.000000	翊
5	1	1	1	17	14	1470	1630	34	36	26.845856	和
4	1	1	1	18	0	980	14	488	1662	-1	
5	1	1	1	18	1	980	14	3	1	0.000000	k
5	1	1	1	18	2	1079	279	6	4	50.563332	生
5	1	1	1	18	3	1083	378	45	61	0.000000	還
5	1	1	1	18	4	1084	448	79	69	18.327835	是
5	1	1	1	18	5	1125	519	41	42	8.720940	中
5	1	1	1	18	6	1141	585	41	53	0.000000	仁
5	1	1	1	18	7	1173	728	27	9	0.000000	.、!
5	1	1	1	18	8	1210	794	45	68	13.356125	讓
5	1	1	1	18	9	1210	892	64	26	0.000000	計
5	1	1	1	18	10	1232	964	60	42	0.000000	記
5	1	1	1	18	11	1269	1046	78	152	0.000000	于
5	1	1	1	18	12	1324	1240	56	123	0.000000	說
5	1	1	1	18	13	1376	1374	92	302	0.000000	18
4	1	1	1	19	0	874	438	335	1163	-1	
5	1	1	1	19	1	874	438	7	44	10.611374	全
5	1	1	1	19	2	876	507	52	111	0.335281	品,
5	1	1	1	19	3	1040	1092	94	202	14.906769	EE
5	1	1	1	19	4	1156	1497	53	112	4.619530	人
4	1	1	1	20	0	752	352	455	1433	-1	
5	1	1	1	20	1	752	352	121	115	0.000000	玄
5	1	1	1	20	2	790	486	85	112	50.564003	人
5	1	1	1	20	3	837	611	129	329	16.245163	和
5	1	1	1	20	4	929	975	161	318	38.352261	三
5	1	1	1	20	5	1050	1305	157	377	17.155334	說
5	1	1	1	20	6	1197	1782	3	3	42.057098	5
4	1	1	1	21	0	638	11	481	1741	-1	
5	1	1	1	21	1	638	11	15	3	81.686974	|
5	1	1	1	21	2	708	275	7	25	0.000000	了
5	1	1	1	21	3	707	324	9	22	0.000000	放
5	1	1	1	21	4	761	487	35	75	0.000000	生,
5	1	1	1	21	5	792	576	5	27	0.000000	匡
5	1	1	1	21	6	792	616	4	9	35.206642	1
5	1	1	1	21	7	817	708	62	81	0.000000	陸
5	1	1	1	21	8	845	824	47	41	0.000000	和
5	1	1	1	21	9	862	921	37	32	0.000000	令
5	1	1	1	21	10	882	971	45	69	0.000000	劑
5	1	1	1	21	11	841	1039	90	46	52.489212	一
5	1	1	1	21	12	933	1110	35	51	0.000000	半
5	1	1	1	21	13	933	1187	50	102	0.000000	較
5	1	1	1	21	14	972	1292	11	107	0.000000	一
5	1	1	1	21	15	1052	1445	3	3	94.409546	一
5	1	1	1	21	16	1057	1518	51	165	6.785423	二
5	1	1	1	21	17	1079	1704	40	48	52.439350	+
4	1	1	1	22	0	741	544	356	1289	-1	
5	1	1	1	22	1	745	544	46	56	47.032505	各
5	1	1	1	22	2	741	631	113	72	0.000000	窟
5	1	1	1	22	3	757	702	82	72	83.851959	一
5	1	1	1	22	4	741	773	113	50	26.455078	女
5	1	1	1	22	5	801	822	36	50	0.000000	間
5	1	1	1	22	6	841	905	21	41	0.000000	講
5	1	1	1	22	7	844	966	39	54	0.000000	肆
5	1	1	1	22	8	837	1053	106	67	56.752705	一
5	1	1	1	22	9	896	1112	29	57	0.000000	窟
5	1	1	1	22	10	933	1252	35	51	0.000000	汪
5	1	1	1	22	11	960	1365	11	11	0.000000	訪
5	1	1	1	22	12	1030	1573	2	2	14.668922	婦
5	1	1	1	22	13	1064	1678	6	5	0.000000	生
5	1	1	1	22	14	1096	1830	1	3	6.340652	人
4	1	1	1	23	0	721	588	367	1255	-1	
