level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2000	1886	-1	
2	1	1	0	0	0	41	20	1955	1849	-1	
3	1	1	1	0	0	41	15	1955	1854	-1	
4	1	1	1	1	0	1917	127	79	1660	-1	
5	1	1	1	1	1	1945	35	30	108	0.000000	和
5	1	1	1	1	2	1948	247	23	66	41.885750	2
5	1	1	1	1	3	1951	322	23	68	0.000000	品
5	1	1	1	1	4	1958	415	20	31	0.000000	x3
5	1	1	1	1	5	1917	462	79	61	28.613831	(讓
5	1	1	1	1	6	1959	663	21	172	0.000000	Xu
5	1	1	1	1	7	1962	1110	6	37	0.000000	衣
5	1	1	1	1	8	1962	1202	5	11	51.370502	二
5	1	1	1	1	9	1961	1228	5	8	71.485535	三
5	1	1	1	1	10	1952	1325	2	2	0.000000	、
5	1	1	1	1	11	1951	1449	34	177	7.969421	ee
5	1	1	1	1	12	1966	1651	20	14	11.464470	二
4	1	1	1	2	0	1830	30	138	1569	-1	
5	1	1	1	2	1	1899	30	14	10	9.693993	|
5	1	1	1	2	2	1830	319	125	164	1.239197	說
5	1	1	1	2	3	1830	482	134	105	0.000000	全
5	1	1	1	2	4	1871	591	92	47	3.663483	大
5	1	1	1	2	5	1861	689	95	99	11.999474	生
5	1	1	1	2	6	1859	787	98	66	8.206467	各
5	1	1	1	2	7	1865	906	103	56	0.000000	趟
5	1	1	1	2	8	1918	966	39	33	42.947609	點
5	1	1	1	2	9	1872	1146	96	82	1.541901	可
5	1	1	1	2	10	1883	1233	83	62	8.468323	條
5	1	1	1	2	11	1931	1318	26	46	13.264961	給
5	1	1	1	2	12	1878	1459	82	90	4.464355	條
5	1	1	1	2	13	1882	1575	102	158	0.000000	條
4	1	1	1	3	0	1807	135	118	1718	-1	
5	1	1	1	3	1	1816	135	6	5	0.000000	:
5	1	1	1	3	2	1830	316	35	34	46.789124	G
5	1	1	1	3	3	1792	382	81	67	0.000000	妨
5	1	1	1	3	4	1807	444	60	99	0.000000	放
5	1	1	1	3	5	1792	514	81	67	14.832153	站
5	1	1	1	3	6	1822	587	47	41	0.000000	丫
5	1	1	1	3	7	1817	718	44	61	0.000000	于
5	1	1	1	3	8	1823	794	44	49	0.000000	記
5	1	1	1	3	9	1833	894	39	30	0.000000	繼
5	1	1	1	3	10	1834	951	44	45	0.000000	弦
